# California - Region 4 Teams
# Accuracy: 79.6% (3312/4161 matches guessed correct)

rank, team, skill
1, 334B, 140.95489808825863
2, 6627X, 136.30449874956358
3, 1469A, 133.59485409375455
4, 72711P, 127.47380118328866
5, 652A, 126.6827901810367
6, 6627A, 123.07885056684174
7, 80920A, 122.86148863262663
8, 393V, 121.95953672124008
9, 8838D, 120.60102360357571
10, 1159X, 118.95643517011698
11, 1138B, 116.95803752854465
12, 2496Y, 114.68142468477615
13, 569C, 112.54035632442925
14, 334X, 109.70096059184965
15, 99999P, 109.26115611570165
16, 1590A, 109.24249850624159
17, 742A, 108.80883488388655
18, 507E, 105.44374492475812
19, 3759X, 105.29163282434119
20, 2496J, 104.99117865678431
21, 2496W, 104.4345896797058
22, 507A, 103.63039582211987
23, 507D, 103.60120917758454
24, 2681A, 103.54359975359893
25, 2496V, 103.45451626228845
26, 8301D, 103.12175071952598
27, 2899A, 103.0701315789143
28, 15442C, 102.80070313762232
29, 6627S, 101.05736933633474
30, 62B, 101.03616251232688
31, 6627B, 100.74655473689512
32, 948J, 99.40670238919701
33, 2822A, 98.5958092169167
34, 7700B, 96.71236069173196
35, 7899B, 96.14757734708725
36, 462Z, 95.10386927553895
37, 21S, 94.55726101378328
38, 7700R, 94.51103888756748
39, 6627C, 94.1661980095371
40, 179E, 91.42365647615978
41, 2496N, 91.05070248260165
42, 3324B, 90.55335288265604
43, 7700X, 89.37813694255115
44, 2496X, 89.2744694676322
45, 99999D, 87.60744186252306
46, 393Z, 87.52060889108382
47, 393A, 87.40716849450766
48, 96140A, 86.93168075421053
49, 3324W, 86.07971940792957
50, 334R, 85.8892892579148
51, 4863A, 85.58372669273366
52, 334U, 84.89561269256475
53, 92620A, 84.38826830602359
54, 11211W, 84.03883983700135
55, 8771Z, 83.70793422838722
56, 15442B, 83.49404480174084
57, 7874R, 83.0892996691247
58, 92782A, 81.84806778480183
59, 2492X, 81.61259257279383
60, 2428W, 81.14955027959891
61, 68689A, 80.94309026913996
62, 62A, 80.8441304346912
63, 6526E, 80.81442666364231
64, 3050X, 80.80956150667186
65, 8838B, 80.6658389229255
66, 34020A, 80.43668477547328
67, 393C, 80.30527360537297
68, 62019Z, 80.25944022069706
69, 34690A, 80.16894228761693
70, 7700M, 79.33810588081079
71, 7899C, 79.23827680937012
72, 13325B, 79.17470531639407
73, 3221K, 78.93925512748451
74, 92187X, 78.85168771822435
75, 8301A, 78.58074463985517
76, 7899X, 78.36806866706786
77, 15442A, 78.36319329779627
78, 1138K, 77.41859644917322
79, 462A, 77.31154248160536
80, 1138C, 77.02904360740834
81, 393W, 77.0073525255118
82, 91709B, 76.82411648912029
83, 99999N, 75.82941209783371
84, 4047A, 75.63077858347614
85, 3324T, 75.5927959331195
86, 334A, 74.81558422196164
87, 6526H, 74.79534504102192
88, 334S, 73.33290654258265
89, 3250C, 72.41928624420936
90, 298A, 72.30694537038113
91, 884A, 70.95495081595611
92, 6526D, 70.44341226607858
93, 6627D, 70.26446460761426
94, 884B, 70.05676449759761
95, 20V, 70.03495465779244
96, 22111A, 69.95359954371841
97, 2150A, 69.84238176999463
98, 7700K, 69.6381433684899
99, 7700H, 68.82845194125488
100, 847X, 68.57822388102505
101, 54545X, 68.54048743363077
102, 8301C, 68.527296036395
103, 1281B, 68.52606244492593
104, 393B, 68.14584332016021
105, 62Y, 67.62297410176308
106, 986A, 67.08682110454696
107, 6517D, 66.75343616278366
108, 68689X, 66.63378741716143
109, 3324Y, 66.5362409645251
110, 8838E, 65.88447547424882
111, 92704B, 65.11086532314359
112, 569B, 64.18786724411405
113, 1138Z, 64.07486993441765
114, 1437A, 63.835789117482136
115, 4863M, 63.82996689036048
116, 77677X, 63.01598082208196
117, 62X, 62.305817782261514
118, 3324K, 62.12430474098754
119, 3324H, 62.099726388626344
120, 91709C, 61.949350788169404
121, 507C, 61.91832764602458
122, 91709G, 61.54362338073306
123, 6526F, 60.51601698159372
124, 3309B, 60.23818440080494
125, 8301B, 59.62672417654741
126, 5840D, 59.130861904672244
127, 3324Z, 59.063232523839524
128, 7700Y, 58.99255633698424
129, 4863F, 58.746388829936556
130, 1281A, 58.577847563303685
131, 892Y, 58.38164415033047
132, 569D, 58.250649745305196
133, 2822C, 57.685269229077726
134, 2799Y, 57.06367776478976
135, 179Z, 56.866445531991296
136, 2822D, 56.69686315871777
137, 3050W, 56.38292668051156
138, 90095G, 56.27942440737018
139, 76607B, 56.047325218161596
140, 98601A, 55.856724185719884
141, 751C, 55.80396276241885
142, 8838A, 55.5725334642336
143, 9413D, 55.504510318110825
144, 56688X, 55.47829066531702
145, 3284B, 54.54737599554501
146, 4863B, 54.20388671746505
147, 1437X, 53.788501294046895
148, 1437V, 53.663493652029516
149, 334V, 53.342822085442386
150, 11725Z, 52.82652928857485
151, 462R, 52.51567882328192
152, 87895C, 52.31394862200851
153, 6517A, 51.936322435247426
154, 11211X, 50.796979695037
155, 8054A, 50.507299326829376
156, 751A, 50.38521524953687
157, 6517X, 49.988511687850824
158, 507B, 49.879193522511805
159, 8838C, 49.39552609805329
160, 2822B, 49.364056879194806
161, 9682A, 49.14661796599053
162, 6149A, 48.92957519505902
163, 6517Z, 48.903280045690146
164, 9801A, 48.82205034402381
165, 92563V, 48.53039855391643
166, 179W, 48.295085832118545
167, 84949Z, 48.084993137631756
168, 6722A, 47.911049005575904
169, 51323W, 47.737546211753674
170, 393Y, 47.36393897872891
171, 5840B, 47.185238794903405
172, 9806B, 46.8020673981611
173, 91625B, 46.70626954438379
174, 7700P, 46.67119836055324
175, 3324V, 46.65276893111936
176, 52274X, 46.373825830409736
177, 62019A, 46.26007125718269
178, 1877C, 45.995870140247135
179, 3324X, 45.19559120385992
180, 10410B, 45.10112742207512
181, 34690C, 44.708931840269756
182, 68689G, 44.50876640584444
183, 393E, 44.475964122559326
184, 7057A, 44.475363683673265
185, 6446A, 44.27738945902318
186, 6022B, 44.25888936538377
187, 179X, 43.71856801493368
188, 599Z, 43.263651219183096
189, 99999K, 43.180796967582744
190, 3050V, 42.472296777817256
191, 6627Y, 42.253439806839886
192, 55319B, 42.24403441030758
193, 7899A, 42.07248991479438
194, 9924X, 41.71071850560514
195, 57350D, 41.661305969276285
196, 9078N, 40.9620066527137
197, 9682X, 40.765272964256184
198, 65696A, 40.26887673194306
199, 12123A, 40.20828489732999
200, 65696B, 39.71128674584817
201, 2822F, 39.61347632789446
202, 90471B, 39.537599234302036
203, 9806A, 39.276678911844854
204, 61009X, 39.2266727348632
205, 34690B, 38.9111920062451
206, 462X, 38.795757789098786
207, 65696C, 38.74779851522711
208, 7700E, 38.47757250639155
209, 1469X, 38.194505060761635
210, 393X, 38.08373513820059
211, 9078Y, 37.97644409123217
212, 92187W, 37.96005709042225
213, 57350C, 37.89016356160529
214, 6722B, 37.62005617141924
215, 68689E, 37.15704066397706
216, 6022A, 36.92968004891839
217, 8565A, 36.75879090270739
218, 91625E, 36.693801540614345
219, 13325A, 36.637518658685025
220, 687A, 36.471134695005745
221, 1437B, 36.21593059730964
222, 3324S, 35.625399267943706
223, 72101X, 35.607207714700344
224, 62Z, 35.40216726936277
225, 91625D, 35.27764547202659
226, 61961B, 34.82805574639118
227, 9078W, 34.65270888075417
228, 1759A, 34.45925155479166
229, 9806D, 33.79355676542933
230, 93060B, 33.556045957689356
231, 6517C, 33.09611947670305
232, 2822E, 33.00050514566128
233, 5871D, 32.77144803753636
234, 84949A, 32.754509424993785
235, 2150C, 32.68671435921598
236, 79793X, 32.66893822722665
237, 5871B, 32.61419216607455
238, 96140B, 32.42176413119192
239, 34020B, 31.517133344008
240, 393D, 31.314410444574854
241, 3309A, 30.881805501712797
242, 2150S, 30.862467376486713
243, 569A, 30.858381549604736
244, 3324C, 30.782652325578248
245, 34690D, 30.55278970194087
246, 55847A, 30.49389201780842
247, 84949M, 30.34273306110378
248, 1437Z, 30.278617317738217
249, 40471B, 30.081729821824908
250, 6446C, 29.862151510007042
251, 48884A, 29.511724386197585
252, 8301E, 29.37507163953152
253, 462C, 29.373496633096018
254, 9078X, 28.547746139904355
255, 1774A, 28.027658747593243
256, 462M, 27.96697031806023
257, 91741A, 27.922975821338845
258, 84949G, 27.685147364432495
259, 1680A, 27.518436965329947
260, 41658A, 27.49587807924383
261, 9806C, 27.455637815654473
262, 7899E, 27.18947847679032
263, 334N, 27.18519228798528
264, 1034A, 26.962195604933676
265, 404Z, 26.45416920738508
266, 82021C, 25.8144457999515
267, 55811B, 25.72714820635055
268, 87895A, 25.650682709938405
269, 8888X, 25.53987147541696
270, 9413C, 25.437906788560486
271, 4863Y, 25.245847489411872
272, 8929A, 24.50117038407207
273, 91709D, 24.01760001997134
274, 11211Y, 24.01645596442087
275, 6722E, 23.194473221016736
276, 7700V, 22.960386553894537
277, 12106C, 22.927810790428175
278, 8054C, 22.880738470514174
279, 31749X, 22.649356107666804
280, 9805B, 22.572040015337635
281, 61961A, 22.329798058094866
282, 41658B, 22.235245620490026
283, 77938B, 22.063516014727327
284, 7874X, 21.62248604572551
285, 7164C, 21.13726378610862
286, 92704A, 20.65302252869226
287, 68689V, 20.63334567934782
288, 59872N, 19.98013118231181
289, 91741X, 19.860685382684196
290, 90471A, 19.672980710654244
291, 8888G, 19.589433413600823
292, 51521A, 19.47476935106031
293, 986B, 19.039154346548415
294, 63204A, 18.918534585868045
295, 10515V, 18.587642373832395
296, 7164A, 18.3580111195759
297, 84949X, 18.016866535841935
298, 68235A, 16.99911120406299
299, 751B, 16.91189360931284
300, 91625C, 16.90560548586614
301, 404E, 16.63113765716784
302, 10746A, 16.455195501492263
303, 7164B, 16.24342064010046
304, 986D, 16.241505337098786
305, 96388P, 16.17079543406834
306, 10058A, 16.110806643860556
307, 9413E, 15.444518208279629
308, 1034N, 15.416224193747208
309, 91625A, 15.238873710932982
310, 5871A, 14.90501344746022
311, 51521B, 14.437420840164833
312, 20Z, 13.999417838488284
313, 90095B, 13.921243731994537
314, 9682W, 13.764665158121105
315, 82021A, 13.67542903041575
316, 5871C, 13.327263614796664
317, 1469E, 13.13716316547228
318, 2150B, 13.125728150408435
319, 94773A, 13.08620611995294
320, 2499Y, 12.94565898436338
321, 96388A, 11.938569937897554
322, 8929D, 11.87499090185839
323, 4800B, 11.545964063143835
324, 51521E, 11.314763284576692
325, 98268A, 11.313751343450605
326, 55319A, 10.969037841843829
327, 68689D, 10.729358712308589
328, 6007Y, 10.646799241330982
329, 687C, 10.578158113062116
330, 3355F, 10.453451157580165
331, 16552B, 10.396688766290147
332, 3064D, 10.109170453913073
333, 7700N, 9.943602243916544
334, 2150V, 9.7308716566219
335, 55847B, 9.70953532838659
336, 7057E, 9.652766977302697
337, 10410A, 9.32589845434017
338, 462Y, 9.12965190935865
339, 20S, 8.759142057983397
340, 6446B, 8.66052166923581
341, 3050N, 8.49935971326802
342, 92833B, 8.448933523923301
343, 21C, 8.392194729466695
344, 96388W, 8.284208667956634
345, 10515Z, 8.25205036609762
346, 59162A, 8.207621557047851
347, 3355A, 7.936344236218119
348, 21B, 7.78501972692704
349, 6722F, 7.722552531808368
350, 34873A, 7.714790765221387
351, 3250B, 7.184425472624987
352, 3355G, 7.1825919626990355
353, 64544C, 7.100931743347246
354, 2150U, 7.008077582901599
355, 84949T, 6.902435634740911
356, 135F, 6.796434333877613
357, 9682C, 6.6247421498601256
358, 84949S, 6.494935658481847
359, 91709S, 6.406665384209674
360, 51521C, 6.126310161312517
361, 6722C, 5.911720617557286
362, 88631A, 5.212133181011559
363, 3250A, 4.993116806746649
364, 1469B, 4.874191034999619
365, 79793V, 4.830289272616557
366, 5840C, 4.611217288100697
367, 9805A, 4.462898848396492
368, 9682B, 4.1327907472280145
369, 687B, 4.019753894693203
370, 61631A, 3.9471731225544247
371, 62H, 3.7821434059525423
372, 2541A, 3.545406763904431
373, 6722D, 3.177015255482935
374, 55319C, 2.9368446871178406
375, 99999G, 2.773853422663109
376, 462V, 2.6659869801847194
377, 81822A, 2.487691611688831
378, 3355R, 2.072004492139982
379, 310A, 1.9962710314663852
380, 1195A, 1.5307158077074519
381, 77938C, 1.3912301016460376
382, 9805C, 1.3706583643272765
383, 3064E, 0.9004638552080735
384, 82021B, 0.7861971889844526
385, 4800A, 0.5721955448986265
386, 10301A, 0.45378203251646454
387, 687G, 0.22913659154570354
388, 4863K, 0.2270234625148717
389, 79793E, -0.38090952402423994
390, 751E, -0.9364522825838364
391, 6007X, -0.9686205809459381
392, 8054B, -1.1410806314755177
393, 90504R, -1.3043327827457887
394, 1138X, -2.0777707361957383
395, 3355E, -2.3196599009770935
396, 3355D, -2.5904329399304693
397, 7057H, -3.452846270837391
398, 8052B, -3.462856905038567
399, 43125B, -3.560180276745484
400, 43125D, -4.056613112111087
401, 87895B, -4.184196102600168
402, 79089B, -6.455862178188276
403, 16680A, -7.183421845776532
404, 77938A, -7.374260959871872
405, 20W, -7.522655336186109
406, 67915B, -7.783261598119051
407, 90471C, -8.25255669764472
408, 47061B, -8.317626595123762
409, 41658D, -8.515465476017493
