rank, team, skill
1, 334B, 146.10539214518099
2, 6627X, 141.0905089177448
3, 1469A, 137.81069875397304
4, 72711P, 135.91393226997792
5, 652A, 132.12678888897582
6, 80920A, 127.35737650991115
7, 393V, 126.67143386986486
8, 6627A, 125.8863527335337
9, 8838D, 124.65341729233697
10, 1159X, 123.31577129640996
11, 1138B, 121.6110891380686
12, 2496Y, 121.20451683444662
13, 569C, 119.58369271875124
14, 742A, 114.7800299308812
15, 334X, 114.42153444769772
16, 1590A, 113.97124907288773
17, 99999P, 113.60127976705705
18, 507E, 111.49039600994615
19, 3759X, 110.83564173266493
20, 2496W, 110.1237736955722
21, 15442C, 109.5585537556482
22, 8301D, 109.15166464072244
23, 507D, 109.04836354097492
24, 2496V, 108.9660187116892
25, 2681A, 108.40686705840996
26, 2496J, 108.24021795860966
27, 507A, 108.21673293317247
28, 2899A, 107.54102501180317
29, 62B, 107.27004984495355
30, 6627B, 105.88896694994915
31, 7899B, 105.6554481233993
32, 948J, 105.56348334034647
33, 6627S, 104.82620676161407
34, 21S, 102.47272991693008
35, 6627C, 101.62551611496264
36, 7700B, 100.24171275945241
37, 7700R, 98.82480967315868
38, 2822A, 98.34916547738364
39, 462Z, 98.34155605367737
40, 2496X, 97.56929434903174
41, 2496N, 97.5089528353186
42, 179E, 94.29913863519047
43, 3324B, 94.27044853459445
44, 99999D, 94.25644526765959
45, 393A, 93.29354290041815
46, 7700X, 92.30299177334481
47, 15442B, 92.03092383768815
48, 334R, 91.79398045162488
49, 3324W, 91.12473980198118
50, 8771Z, 90.89991890963188
51, 334U, 90.17360460274617
52, 393Z, 89.8180169392818
53, 96140A, 89.7114940394051
54, 7899C, 89.53381964002737
55, 2492X, 89.49363418219406
56, 11211W, 89.04548686197462
57, 92620A, 89.02306354687235
58, 7874R, 88.77814411231529
59, 13325B, 88.71174720075688
60, 6526E, 88.49051519276952
61, 92187X, 88.2395631106468
62, 4863A, 88.19221605575777
63, 92782A, 87.80459643398464
64, 7899X, 87.65663048452434
65, 3050X, 87.11580305530006
66, 2428W, 86.95209219416189
67, 68689A, 86.79140126481497
68, 393C, 86.68460344159601
69, 62019Z, 86.49490369012486
70, 8301A, 85.7125333604564
71, 3221K, 85.66672388019676
72, 34020A, 85.27052002174081
73, 15442A, 85.25495567208726
74, 393W, 85.07234622153364
75, 62A, 85.02777263866994
76, 34690A, 84.94054292879385
77, 8838B, 84.82327481714226
78, 92704B, 84.10597793384626
79, 7700M, 83.66505146981667
80, 91709B, 83.42420595338788
81, 1138K, 83.29058824305079
82, 334S, 82.86330883620049
83, 1138C, 82.78726567426727
84, 3324T, 82.26988360585116
85, 884A, 82.13382518846598
86, 6526H, 81.00545588011111
87, 4047A, 80.6274904246887
88, 99999N, 80.46487105836877
89, 884B, 79.56855045723324
90, 462A, 79.03846265685866
91, 2150A, 78.50227473455594
92, 334A, 78.32749143077426
93, 3250C, 78.29690086752319
94, 298A, 77.86865520525662
95, 6526D, 77.50658981077774
96, 20V, 77.28404270182094
97, 393B, 76.19521769879299
98, 22111A, 76.12085225907543
99, 7700K, 76.06757757455263
100, 847X, 75.66464757169595
101, 7700H, 75.44940651409196
102, 986A, 75.1533414647439
103, 6627D, 74.49864278970716
104, 54545X, 73.972386898101
105, 8301C, 73.9264542410707
106, 91709G, 73.24879914289781
107, 62Y, 72.7987067846544
108, 68689X, 72.6218154027892
109, 1138Z, 72.08052567490691
110, 3324Y, 72.07610907153648
111, 6517D, 72.04332529724394
112, 1437A, 71.86057893700996
113, 1281B, 71.83549713675308
114, 8838E, 70.95187115261075
115, 62X, 70.90474006839398
116, 6526F, 70.77558742108013
117, 569B, 70.39401310904167
118, 77677X, 69.69192657382003
119, 4863M, 69.25086755348714
120, 3324K, 69.12187188787183
121, 507C, 68.69238998974053
122, 3324H, 68.51725682352296
123, 569D, 68.31938161037314
124, 7700Y, 67.90764665491739
125, 5840D, 67.49905016928682
126, 2799Y, 66.82976320071897
127, 1437X, 66.78348219669628
128, 91709C, 65.83802872096226
129, 56688X, 65.70658286506934
130, 90095G, 65.58861975033116
131, 8301B, 65.15395830236895
132, 98601A, 64.8983921928126
133, 1281A, 64.75626316051097
134, 892Y, 64.69200878295058
135, 3309B, 64.58150758899917
136, 2822C, 64.5172325112461
137, 3324Z, 64.14480585276095
138, 11725Z, 64.13356736740579
139, 4863F, 64.04866903313533
140, 3050W, 63.866991688308204
141, 87895C, 63.373727731863895
142, 3284B, 62.71148556897118
143, 179Z, 62.16940955484739
144, 9801A, 61.899925570052105
145, 751C, 61.617210165627625
146, 8838A, 61.508518262194585
147, 2822D, 60.962456015928986
148, 8054A, 60.90159682802039
149, 4863B, 60.58954169979394
150, 76607B, 60.559566142991976
151, 1437V, 59.59228967946068
152, 334V, 59.54043355653528
153, 9413D, 59.37066085123153
154, 92563V, 59.269171921537634
155, 179W, 58.873129212497844
156, 7700P, 58.74953834460745
157, 462R, 58.23864582691419
158, 507B, 58.208916535465264
159, 11211X, 57.57395874797567
160, 6149A, 56.653922429087054
161, 3324V, 56.61668682268237
162, 84949Z, 56.585488317108286
163, 9682A, 56.449644054130886
164, 51323W, 56.435587136737325
165, 8838C, 56.28515372178004
166, 751A, 55.86608186323739
167, 6517A, 55.77778911271608
168, 2822B, 55.454320041905085
169, 393E, 55.43185410869552
170, 52274X, 55.1867016243344
171, 3324X, 55.033407320625
172, 393Y, 54.94340866960459
173, 6517Z, 54.762222696929456
174, 99999K, 54.587011254788806
175, 6517X, 54.399786071508444
176, 9806B, 53.98577543220843
177, 5840B, 53.8364346902698
178, 6722A, 53.79443208346916
179, 62019A, 53.757817557294274
180, 34690C, 53.50564027205061
181, 9924X, 52.70615324856303
182, 1877C, 52.475017438549834
183, 599Z, 52.39969345574795
184, 10410B, 52.32255390065824
185, 6022B, 52.31508220985428
186, 7057A, 52.063368216421225
187, 90471B, 52.05723442014212
188, 6627Y, 51.841786334803686
189, 179X, 51.516661008964746
190, 3050V, 50.93959537324152
191, 1437B, 50.45027027324122
192, 7899A, 50.44455215816832
193, 65696B, 49.88703682815131
194, 6446A, 49.71523665293039
195, 12123A, 49.6956722530465
196, 91625B, 49.5007910650624
197, 68689G, 49.21819090546033
198, 65696A, 49.03628674250436
199, 9682X, 48.33806592396825
200, 3324S, 47.73547597888929
201, 65696C, 47.56903396264552
202, 462X, 47.20345736998689
203, 9078N, 46.4161647924543
204, 13325A, 46.06480647997591
205, 34690B, 46.049674369162474
206, 7700E, 45.73073786142892
207, 393X, 45.709354078906856
208, 9806A, 45.573218796353515
209, 61009X, 45.39169307250112
210, 6722B, 45.371629670703925
211, 687A, 45.288170585647414
212, 1469X, 44.982925862988225
213, 6022A, 44.67519351688182
214, 57350D, 44.608991425960895
215, 72101X, 44.56134991627359
216, 9078Y, 44.54071329739418
217, 2822F, 44.3851886027047
218, 5871D, 44.24615135251883
219, 1759A, 43.93083191497905
220, 55319B, 43.874972535629155
221, 8565A, 43.76421529995466
222, 5871B, 43.249729655045726
223, 92187W, 43.11764524580873
224, 1437Z, 42.467499416867355
225, 6517C, 42.43140988015608
226, 57350C, 42.41206506315673
227, 2150C, 42.08194843002537
228, 462C, 41.88513864120215
229, 62Z, 41.39217414528898
230, 96140B, 41.35758613717039
231, 61961B, 41.08226623410535
232, 84949A, 41.03287789813226
233, 68689E, 40.97643978881575
234, 40471B, 40.83990671723968
235, 9078W, 40.83909468167155
236, 34690D, 40.497565138319395
237, 569A, 40.29433845509808
238, 9806D, 39.76193747132152
239, 2150S, 39.72854087334072
240, 3324C, 39.66123318767092
241, 93060B, 39.5589652954277
242, 34020B, 39.17613934165286
243, 8301E, 39.07684438004909
244, 11211Y, 39.00821263842365
245, 2822E, 38.65726434338542
246, 91625E, 38.503154631853235
247, 79793X, 37.9946793222027
248, 3309A, 37.907055484478676
249, 393D, 37.850323932880926
250, 6446C, 37.781066623646254
251, 48884A, 37.373053820250206
252, 31749X, 37.239546590121506
253, 55847A, 37.165674980129246
254, 1034A, 37.03760839544354
255, 7899E, 37.01364437439062
256, 334N, 36.71090397406434
257, 84949M, 36.6707824804392
258, 1774A, 36.61171852089864
259, 91625D, 36.45155796431776
260, 1680A, 35.94898537236796
261, 404Z, 35.39850549921918
262, 91741A, 35.3962604940799
