rank, team, skill
1, 6627A, 165.7506739625512
2, 334B, 156.86340357046734
3, 1469A, 148.83894515284936
4, 8301D, 136.61939898968376
5, 334X, 135.7055267098148
6, 2496N, 111.20472858654426
7, 22111A, 107.86023586715937
8, 6627S, 107.05573906378277
9, 72711P, 91.45945373234852
10, 80920A, 87.66064573348173
11, 99999D, 86.73801485737533
12, 334R, 86.35022047470031
13, 1138B, 83.49435451297148
14, 3759X, 81.89000233899462
15, 1281A, 73.27215714097588
16, 92782A, 68.6841712185919
17, 3284B, 68.05699505012542
18, 15442A, 67.30595112519305
19, 2496Y, 65.39847521602724
20, 3050X, 59.29812574182735
21, 21S, 50.23529061640542
22, 986A, 45.39878193191336
23, 2496X, 40.25417933749917
24, 334U, 38.10398523145195
25, 8301B, 37.01898428919597
26, 62B, 34.42623231739475
27, 599Z, 32.73663325657762
28, 3050W, 32.30001289865571
29, 8301A, 25.819718437368053
30, 62A, 21.565773860081862
31, 334S, 14.876124472394999
32, 2492X, 8.133928250540457
33, 62X, -5.578326139119433
34, 9924X, -7.598851472871814
35, 884B, -21.931970062728613
36, 8054A, -21.990996570585096
37, 62H, -25.252502871460006
38, 393B, -26.122517752939878
39, 3050V, -29.151897844319496
40, 393E, -29.207502401381696
41, 7899X, -38.655847249669115
42, 1437X, -90.06707750527704
