rank, team, skill
1, 2496J, 154.9793040574953
2, 2496V, 124.53886024752424
3, 7700R, 118.32406854945089
4, 15442C, 112.25745590537501
5, 6627X, 109.4718596347743
6, 2496W, 108.84238862782558
7, 99999P, 107.88880393737622
8, 948J, 105.05589694159673
9, 15442B, 94.56400341045178
10, 652A, 84.44962548006575
11, 507A, 82.0207847563101
12, 569C, 81.47396688964758
13, 507E, 79.81122426551713
14, 62019A, 73.9396748766834
15, 6526D, 72.65653381044477
16, 8301C, 71.57158091529706
17, 52274X, 65.75997504398175
18, 8771Z, 65.71735786434576
19, 91709C, 63.80277312719327
20, 393A, 62.61894160408136
21, 11211W, 62.470508327676136
22, 6526H, 60.60204146242509
23, 507D, 54.7681949767532
24, 393C, 52.447811533911526
25, 91709D, 40.52523344795472
26, 6627B, 34.41239841344408
27, 1034A, 34.24143199922677
28, 6627C, 30.339850754931632
29, 179W, 29.80732634385369
30, 2428W, 28.33689110496207
31, 6526E, 25.99788361680062
32, 884A, 25.263029114177073
33, 742A, 23.77960203135688
34, 847X, 19.98403044442344
35, 11211X, 19.647745182887725
36, 6627D, -6.444750474651329
37, 6526F, -24.952097163601593
38, 1437A, -25.432601560238783
39, 90095G, -25.662855420502073
40, 1437Z, -30.389740164882483
41, 179X, -35.98088823408836
42, 11211Y, -40.771869547485565
