rank, team, skill
1, 99904B, 156.45535424617077
2, 323V, 142.45867477495142
3, 21417A, 133.05762485309546
4, 6210M, 129.41049259448437
5, 6842K, 128.07064328802784
6, 100A, 123.17573975864504
7, 586E, 121.48672244007281
8, 6842C, 117.41047641443497
9, 50075A, 104.95181708829094
10, 84954A, 103.4047678891161
11, 99904E, 101.38169469350561
12, 2790B, 101.32305500230649
13, 7282K, 100.76877819456718
14, 1075A, 100.62065335808725
15, 1115E, 100.55993192367723
16, 99904W, 100.01807594425765
17, 6210U, 99.26800131326075
18, 7701X, 97.68426049753789
19, 1115F, 96.60516253702853
20, 1115D, 94.72337674422415
21, 2719F, 92.49148203817451
22, 84954D, 91.54082816157234
23, 2567F, 91.01064241042849
24, 1233A, 90.61948804204769
25, 32789B, 88.95060841779504
26, 2567B, 87.0259874789973
27, 323S, 86.4958887394045
28, 50075F, 85.63807344742939
29, 1233H, 85.08614716387666
30, 1483C, 84.29584816303046
31, 1483D, 82.91363206285787
32, 323E, 82.39384242992492
33, 1233B, 83.11547388483463
34, 1233C, 82.40265819930697
35, 99904X, 81.86610480107755
36, 21408E, 81.79425518515542
37, 323N, 80.69337897303285
38, 84954B, 80.35599106987485
39, 7282W, 78.27649823775782
40, 6842N, 77.11930688011378
41, 46311B, 77.36826744290784
42, 7701A, 75.63700068919857
43, 2977C, 75.40198331688673
44, 6210T, 74.95544783158357
45, 2567K, 74.76699124891086
46, 55760B, 75.18796702587403
47, 5690T, 74.45719346070294
48, 91976A, 74.02718833172517
49, 1075C, 73.20347368597486
50, 7701F, 73.10873838510048
51, 1233J, 72.16508447876485
52, 2719A, 72.65591336900388
53, 73641S, 71.35110234989091
54, 73641C, 70.81298057846385
55, 7368C, 70.5902191947609
56, 2567R, 70.08048686517553
57, 14584E, 70.21161288337746
58, 31330D, 69.77931856480134
59, 4981D, 70.42974121633614
60, 1193S, 69.37111474059755
61, 586B, 67.85670272439057
62, 73641V, 67.45092131996263
63, 7368W, 65.54940598869632
64, 621A, 64.953328491251
65, 50421A, 64.19559630792168
66, 97817Z, 63.76810225557595
67, 6210B, 63.096758533279896
68, 6210G, 62.99113425915472
69, 5870B, 63.11432531418891
70, 18799M, 61.95284902606913
71, 2719G, 61.65312068922848
72, 1115C, 61.42112888172865
73, 73641H, 61.90838842787651
74, 8663A, 61.49469555958935
75, 33112C, 60.94742832197895
76, 7701D, 61.1880634647063
77, 1233E, 61.0612192049518
78, 33112D, 58.904353098205576
79, 2790A, 58.51107861072022
80, 1233G, 57.543925330075055
81, 97817C, 56.950155177855606
82, 46311F, 57.453835132205
83, 323X, 55.26246184375305
84, 21619B, 55.157110049926445
85, 7282Y, 54.961756489609556
86, 2790C, 54.66051429723484
87, 13956A, 53.97932460432371
88, 574G, 53.39141446211684
89, 4981A, 53.44891374499569
90, 2567C, 52.55780487136664
91, 7368M, 51.98867947590425
92, 1193Y, 51.57041602944672
93, 586C, 52.030825822369074
94, 54827A, 50.80500347459278
95, 5690X, 50.088032841464866
96, 4981B, 50.566251876827636
97, 3654S, 49.239484232275856
98, 38637B, 48.81237660881426
99, 4981C, 49.236795406772416
100, 121S, 48.72183305754797
101, 2719C, 47.374377015566786
102, 55760D, 47.93575131393325
103, 32789D, 47.059751570735614
104, 1115B, 46.53825443466536
105, 7701N, 46.46353448188041
106, 50887A, 45.18052587052982
107, 6210S, 46.49021227881525
108, 631A, 44.51697407115207
109, 46385A, 43.392781040932675
110, 5690W, 43.0305553984015
111, 5690Z, 43.01932319932617
112, 57301R, 42.80264292699843
113, 33112G, 43.257261323800904
114, 45730A, 42.37600254643105
115, 50075E, 41.86247686175133
116, 587Y, 41.45188688152532
117, 14584G, 40.996863618992144
118, 46311A, 41.097462956274306
119, 28921B, 40.68888896535621
120, 94659A, 40.05778066086896
121, 6842G, 41.215976055664186
122, 2719X, 39.29996420877194
123, 1193T, 39.208401485874916
124, 83941A, 39.26927413371535
125, 32789C, 38.41452102533224
126, 2849B, 38.70461503940891
127, 97817D, 38.606266690595355
128, 48329D, 38.316297310244856
129, 2719W, 37.593873385144576
130, 33112A, 38.35516228426761
131, 1233Z, 38.0395263654893
132, 55760A, 37.29456282832713
133, 33112B, 37.142156640789736
134, 21408D, 36.62434243267696
135, 97817A, 35.76929940632627
136, 7701Z, 35.2817625792067
137, 42616B, 35.0840008785474
138, 48329E, 33.64446706191134
139, 31330B, 33.253777927323426
140, 32789A, 32.594494047280854
141, 631B, 30.89183745588037
142, 62191A, 31.092192683024408
143, 587W, 30.147288644113903
144, 55760F, 30.589944816919285
145, 48329B, 30.010520833887213
146, 52718A, 29.54314788554909
147, 38637A, 28.900917170234944
148, 43210A, 28.501719564514815
149, 60539B, 29.37527949713713
150, 1233X, 28.92592391699169
151, 5690B, 28.175773927484116
152, 21408C, 28.34235357128513
153, 99904A, 28.115713700333554
154, 28921C, 27.356985849566716
155, 621B, 26.1718033542833
156, 703E, 26.434454572709058
157, 1115A, 25.640460513669275
158, 7368G, 24.967642655358684
159, 3725B, 25.193407265318978
160, 1483A, 25.295661973785574
161, 491D, 25.532452941309064
162, 13956B, 24.613292945991745
163, 31330A, 24.18762628531643
164, 62191B, 24.018008626393364
165, 52718C, 23.050951515086723
166, 46311C, 22.785639644183924
167, 2567J, 21.936664302030902
168, 31458A, 22.230778388607
169, 83941D, 22.233119775105408
170, 42784A, 22.16936910908329
171, 45730B, 21.675405470028927
172, 703B, 21.60047247363099
173, 15550Z, 20.55949169872168
174, 6842A, 20.12471402688798
175, 45535A, 20.08843129014952
176, 59096B, 20.043211764594968
177, 21408B, 20.19857480369005
178, 17529F, 19.805469454927632
179, 42784C, 19.965077074953406
180, 42784B, 18.96991129061001
181, 1024C, 19.194301174840824
182, 2567M, 18.093178571022
183, 1233P, 18.79146194967377
184, 6842V, 17.674234390290213
185, 1193Z, 17.833941903881623
186, 84954C, 17.943921666631805
187, 57301A, 16.863483212686095
188, 50825D, 17.532117934603995
189, 91111A, 16.847920453432835
190, 3725A, 16.038827014279992
191, 17917A, 15.891737553730415
192, 45730C, 16.04475311465216
193, 43210T, 15.420509998594287
194, 31114B, 15.20228625575563
195, 2567T, 14.853590194021713
196, 703C, 15.121087809783123
197, 28921A, 14.880660725429202
198, 13301B, 15.864346617977638
199, 57301X, 13.540539656690811
200, 21408A, 13.615297816173587
201, 59096C, 13.197011333743639
202, 1530B, 13.780375608093077
203, 587X, 12.98155047906095
204, 47112A, 11.947298274577982
205, 2567V, 12.047460836274936
206, 2719Z, 11.039544910334367
207, 45535B, 10.194414177392915
208, 6842P, 9.031578232986696
209, 1024B, 9.384886847280697
210, 52718F, 7.731065974194184
211, 94521A, 8.36718197248026
212, 2977B, 7.8041741179889215
213, 31114A, 7.148217672998378
214, 43268A, 8.559042049905283
215, 83941M, 6.825601106460738
216, 2567E, 9.109955329146246
217, 703A, 6.700443731884807
218, 71071A, 6.461280400270976
219, 52718E, 5.075032372772309
220, 59096D, 4.933988544150392
221, 19379A, 3.2851215652080974
222, 5870A, 3.5295557294814444
223, 17917B, 3.1416639109675657
224, 6618E, 2.792486988110241
225, 52718D, 1.9964941091243666
226, 53202Z, 2.617309867763023
227, 48010A, 2.030133630071429
228, 69296B, 2.403524917686056
229, 57130A, 1.869731986518854
230, 97191A, 1.8624707875825557
231, 43268C, 3.6523641180424384
232, 3725C, 1.5661730069539814
233, 46311E, 1.1025089753079023
234, 83941B, 0.8745359814170257
235, 1530C, 1.161763390946259
236, 52718B, 0.020724037024557163
237, 46176B, 0.5571440103044125
238, 703D, -0.06961881343958964
239, 703F, -0.08167770741300018
240, 586G, -0.45034100175526603
241, 2567A, -1.416619465084466
242, 1530A, -1.4900624842277423
243, 12896A, -3.1021008053012515
244, 2719Y, -4.25666961093523
245, 587Z, -2.276665865296195
246, 42616A, -4.846027888090866
247, 43268B, -2.3874220147666705
248, 7282V, -5.608832970449647
249, 52718G, -7.589598808756419
250, 46151W, -7.470226753706147
251, 46151J, -7.791384982570754
252, 17529E, -8.331476325845724
253, 48329A, -8.603001264188222
254, 60539A, -7.893101025293642
255, 52718J, -10.314675529805177
256, 59096A, -10.6018020751756
257, 13301A, -10.328527781421158
258, 46176A, -10.193339765239394
259, 14819M, -10.758246479638542
260, 69296A, -10.550257257696153
261, 14819A, -11.957300777955405
262, 2719V, -8.847455534883576
263, 55760C, -12.436829652295607
264, 53202S, -13.434874490218457
265, 46385B, -13.623438689867026
266, 62372A, -13.349965060158326
267, 97191B, -14.04657216885414
268, 64293C, -12.067462458447935
269, 46013A, -15.168079554944846
270, 31330C, -16.12282771771976
271, 50825C, -17.183103954337223
272, 14819C, -18.290542590163838
273, 17917C, -19.17251836906612
274, 7282X, -21.945360165151456
275, 1624A, -27.15643178782769
276, 97817K, -27.46789095655737
277, 46311D, -27.280404165939395
278, 53202C, -28.926731032830297
279, 1024A, -31.68663765232618
280, 491B, -33.24186063688737
281, 21619A, -33.54260732212439
282, 47229A, -36.898571758770984
283, 96290A, -36.750882557019864
284, 76548A, -36.94265328287629
285, 8663B, -38.10359338472127
286, 46390A, -38.70962288948614
287, 28806A, -39.400223398630814
288, 46385C, -39.066561347855725
289, 36613A, -41.45822793451954
290, 28806B, -43.10013495465008
291, 2977A, -43.18765604463506
292, 47165A, -45.26251488324766
293, 62372B, -48.6282461158297
294, 97187A, -50.0122086839616
295, 1162X, -51.01555908131592
296, 79111A, -52.2163274620313
297, 62372C, -53.08108678770084
298, 46013B, -56.690723810073045
299, 14819B, -58.324588549267176
