rank, team, skill
1, 2011A, 153.86900698537056
2, 45434M, 138.41546977781886
3, 2011K, 136.59339765565505
4, 44691R, 136.24581753159526
5, 2011J, 135.86533493103158
6, 2011D, 134.85772248977355
7, 2011B, 131.20491388574928
8, 2011Z, 130.34182984047524
9, 45434R, 127.7400901342472
10, 6008N, 122.08090353926694
11, 60883W, 120.58798470705091
12, 6008C, 119.30650088060194
13, 45434H, 119.1099386840939
14, 60883V, 117.08120397705562
15, 11124R, 116.83401431889385
16, 11124P, 116.17419946026413
17, 8823Z, 113.93223178447727
18, 6008A, 111.63349251997346
19, 7316R, 110.60417664937926
20, 7316E, 109.69058362059418
21, 19291R, 107.76884114549306
22, 2011F, 106.105933242978
23, 2011E, 103.64582761383124
24, 60883X, 103.10563954884567
25, 91775C, 99.8031250966076
26, 4810G, 99.40271729767198
27, 45434G, 99.35586899047749
28, 19291A, 98.90842168463143
29, 2720R, 100.03799954917157
30, 7316V, 97.48876941559786
31, 17325D, 97.18452161707451
32, 91915C, 94.32107654912892
33, 45133J, 94.0669284846654
34, 7316X, 93.90991210586174
35, 88990B, 94.91149344748433
36, 32740A, 92.58397155305528
37, 6403A, 91.66488758221465
38, 6008D, 90.97310300368116
39, 6403Z, 89.98754218371478
40, 45434E, 89.80315405056018
41, 45133H, 89.0419408373166
42, 6403P, 88.60487746915024
43, 60883S, 88.13539871423745
44, 19291M, 87.83843139620804
45, 11124W, 87.15552005882319
46, 44691F, 86.48980124532096
47, 4810A, 86.31619551969604
48, 45133E, 86.3455753466588
49, 7865E, 85.10394792509534
50, 45434A, 85.06822912415318
51, 9185B, 84.30130076225763
52, 6008X, 84.21902538571977
53, 6978D, 84.21832337428245
54, 6008P, 84.18685188074683
55, 6390R, 84.03346740387991
56, 11254X, 83.19195408094069
57, 3264Z, 82.10062824143888
58, 11124X, 81.87838741768006
59, 68561D, 81.49652967043735
60, 97377A, 82.50109768134108
61, 45434N, 81.23823396089236
62, 37816J, 80.64448858129438
63, 11254Y, 79.22103721996736
64, 3145H, 78.74757298069034
65, 34872A, 78.60771398050593
66, 43779Z, 78.25162010473888
67, 6741E, 78.10512267855955
68, 43160E, 78.86098597890964
69, 6741A, 77.52480823167602
70, 38336B, 78.03966144204905
71, 81834A, 77.51857224121801
72, 97310A, 76.72882897393185
73, 45434F, 76.47157580473495
74, 11124Z, 75.4606166277285
75, 99248C, 75.45121094028003
76, 37816B, 74.83362186840722
77, 9185A, 74.43033418821383
78, 6403T, 74.25944919800665
79, 45133F, 73.73831909035816
80, 2011C, 73.70001919969661
81, 45224B, 73.42648271668743
82, 7882Z, 74.12660165751387
83, 37816H, 73.22948202443153
84, 45434D, 72.62481085805389
85, 91775B, 73.23940310975075
86, 7316N, 72.222529758359
87, 6008Y, 72.64014964522985
88, 3264D, 72.179699481676
89, 14760B, 72.64735706537618
90, 6741S, 71.31883118759353
91, 2011W, 71.18378911173677
92, 6978W, 71.04918392078449
93, 2011H, 71.62792506256633
94, 2011T, 70.79227207662372
95, 98992A, 70.5501422974292
96, 91775D, 71.44351742858937
97, 43779S, 70.46171568269648
98, 81834B, 70.5884429811305
99, 44116A, 71.13070941257894
100, 6978Y, 70.51557082773869
101, 99656A, 69.65558156839656
102, 91142B, 69.14538757162168
103, 40938A, 69.70045747831146
104, 17325C, 69.12363709888217
105, 98992N, 68.38418432390111
106, 37816E, 68.09183232958777
107, 37898A, 69.52192286550954
108, 97174W, 67.63065016174096
109, 91915A, 67.19796631662766
110, 38336E, 66.92083309301209
111, 33188B, 66.55979751759688
112, 14323J, 66.5120404032823
113, 14441A, 65.63319305594511
114, 44691C, 64.78723586044974
115, 2971A, 65.40909152099951
116, 8823E, 64.6814548088196
117, 11254Z, 64.26992441435027
118, 44012C, 64.49252241586954
119, 3145N, 64.12152665847968
120, 51944C, 64.25494147740562
121, 68561G, 64.50818170652813
122, 42111R, 63.15457513323949
123, 43050E, 63.13259477514152
124, 7882B, 62.98859791543704
125, 8823B, 62.79051696961345
126, 40938B, 62.0213952079544
127, 45133M, 62.30330951418667
128, 40938C, 61.67642316430228
129, 2011R, 62.33532301050637
130, 4112S, 62.24092230129406
131, 68561A, 62.420576203452484
132, 99656B, 60.7294504972202
133, 98992B, 60.63269134530001
134, 43050X, 60.435972121952915
135, 23004B, 61.01107441184375
136, 37816C, 60.09804281818337
137, 6403F, 60.46162836474498
138, 8823A, 59.34168302894997
139, 9311A, 59.76719276394268
140, 26681A, 59.12828419462714
141, 14760D, 59.77396525625666
142, 1254D, 58.93904974414126
143, 97310D, 59.07392637013977
144, 14760E, 59.46925735247889
145, 34872B, 58.60439927936886
146, 4112Z, 58.921951545317405
147, 6978C, 57.622140318565144
148, 92285A, 58.154162223417515
149, 59236C, 59.207189340557804
150, 2011X, 57.06221603292547
151, 37816D, 57.045096782620256
152, 1421R, 57.2747902759374
153, 37816G, 56.76290031753811
154, 1254A, 56.667947842329944
155, 44118D, 56.67981127928029
156, 27309A, 56.07879947373402
157, 13289A, 55.42964537918804
158, 3145G, 55.99634741922771
159, 81834C, 55.530517624149695
160, 17325A, 55.03117910451055
161, 19291Y, 54.93556666512451
162, 5515C, 55.83376102210289
163, 14760C, 54.62787341440895
164, 6390X, 54.67149267435361
165, 6390H, 53.592623317500426
166, 10565A, 53.826016103223694
167, 3264A, 53.77982557883014
168, 8609A, 52.9783445283985
169, 8823S, 53.214603520861715
170, 3264C, 52.72820542757588
171, 12099A, 53.4487944304105
172, 6978E, 53.28539474086416
173, 6390J, 52.1428395059079
174, 95936A, 52.434946708551415
175, 4112D, 51.889354033333305
176, 32740D, 51.683240739730756
177, 68561B, 52.311309230014174
178, 77999B, 52.038105232312724
179, 97310B, 51.13117695096612
180, 81834D, 50.78044667950364
181, 6008H, 50.513267474427764
182, 11124A, 50.54158641068561
183, 1243A, 50.34441502431096
184, 7882X, 49.73465722147742
