rank, team, skill
1, 2654P, 188.30446339229377
2, 229V, 179.8815835811362
3, 11101W, 177.36250234925197
4, 2011A, 172.5216466646654
5, 3583A, 172.48674321072917
6, 5203G, 171.07571410308216
7, 10102A, 168.80133013458232
8, 45434G, 167.72752875277695
9, 8110R, 167.21207924076606
10, 80001B, 153.3715287789549
11, 11101B, 153.34977312879073
12, 3141V, 153.81728629515882
13, 9364H, 150.4819462800766
14, 1082R, 151.90718674692192
15, 95070D, 149.49153358883697
16, 1000A, 148.95059223935237
17, 343X, 148.03768237688402
18, 1095R, 147.75706415921954
19, 2011J, 147.57772273954143
20, 550X, 146.8178713869006
21, 2131Y, 147.08013630436074
22, 20605A, 146.35521871490013
23, 1258V, 145.76438785439643
24, 7316X, 145.4825773732483
25, 886N, 145.45330221490957
26, 20164X, 144.05040916416786
27, 1010W, 143.84426824663907
28, 8838C, 142.23404518464866
29, 10C, 142.2118503037328
30, 94W, 146.11290349967405
31, 81208S, 141.73087649999187
32, 5327S, 140.60389157819938
33, 652A, 140.19747490740497
34, 1065A, 142.26942212858444
35, 2011B, 139.88198873090334
36, 44691F, 139.43928345203935
37, 9364C, 139.04583830497006
38, 8349G, 138.638301545395
39, 66475C, 137.9270087412668
40, 334B, 138.40963410241818
41, 96504C, 137.90956596944355
42, 80508X, 137.09954051496644
43, 90000A, 136.93559609776162
44, 2654R, 136.4358127618384
45, 3134G, 140.62713508566947
46, 248A, 135.43040463496462
47, 84373A, 134.56040213713644
48, 13358C, 133.82532334003977
49, 6403P, 134.2572867392208
50, 98548J, 133.6735148830379
51, 95070C, 132.7889152854459
52, 2775V, 133.26411503570682
53, 4810A, 132.6866222700702
54, 948J, 133.09249449738792
55, 6121C, 133.26749132174922
56, 7225F, 132.12668971468486
57, 8829C, 132.41262029145759
58, 3118B, 133.22095628379688
59, 8838D, 130.69960571576888
60, 1575T, 129.97830632497232
61, 10012G, 130.40135986165114
62, 19589A, 129.27303873913388
63, 99904B, 128.9561468226692
64, 1356B, 128.6137970725262
65, 44252A, 128.53274203157056
66, 2011Z, 129.03150843973708
67, 8889A, 128.26346226599702
68, 2011D, 128.03342786698818
69, 5155A, 128.49092125563328
70, 3223A, 129.04729061525717
71, 323V, 127.05356130352015
72, 48425A, 126.8963771032135
73, 47969A, 126.29491321066227
74, 4610C, 127.92976500665846
75, 10X, 126.741676094543
76, 12478X, 125.70542835693492
77, 80508Y, 125.65969773446719
78, 39702A, 124.78057638183819
79, 6008N, 125.13557445099067
80, 60883X, 124.24483820227402
81, 6627S, 123.92032842060198
82, 1698Y, 123.37301310231348
83, 2496W, 124.19321750071732
84, 60883S, 122.85853079715088
85, 315E, 122.45770558115979
86, 1233H, 122.87642026097866
87, 244D, 122.88630702472749
88, 1469A, 122.23715054404443
89, 95111V, 121.53293880805424
90, 39702C, 121.14272554285806
91, 569C, 120.62274792046283
92, 2011K, 120.55725401541912
93, 67101C, 125.07647682075958
94, 16689D, 119.70704013638354
95, 2428W, 120.08557545916088
96, 21417A, 119.50985369355791
97, 39313Z, 118.89248529669685
98, 10009A, 118.05404819550847
99, 81Z, 118.30322339036172
100, 11124R, 117.55351412804302
101, 8301A, 117.27007118047433
102, 643A, 116.4038049388733
103, 47874R, 117.29774362292635
104, 88909K, 116.43126733238766
105, 4478M, 116.4010450612478
106, 60883V, 116.37704214595976
107, 16868K, 117.00935646253743
108, 9909Y, 116.44520510058645
109, 32221S, 116.18833666364588
110, 7899X, 118.98330391771393
111, 80708Y, 115.96865101576336
112, 52455A, 116.0866461108011
113, 9364A, 116.17454024027313
114, 44691R, 115.4034300334678
115, 11124P, 115.37897508029121
116, 40684D, 115.94208755966383
117, 1159X, 116.40710037921602
118, 91416X, 119.80444260881742
119, 99040C, 114.83174808580684
120, 8110V, 114.30668104246419
121, 10B, 114.31226605797949
122, 6842K, 112.56674534499604
123, 2131H, 112.01223067190152
124, 8000C, 111.42513511390933
125, 39599B, 111.28973355285572
126, 6627X, 111.24392769470859
127, 1082X, 113.24218994596754
128, 4610H, 111.11234618863728
129, 502X, 111.44686063997537
130, 100A, 110.83013191505032
131, 1168A, 110.09982089536213
132, 77787B, 110.01144483354219
133, 1898A, 111.77937341953734
134, 333G, 110.10172931723994
135, 62629X, 109.77122347687875
136, 6627A, 108.83970787750218
137, 334U, 108.64694901357343
138, 11101X, 108.01070168979348
139, 3759X, 109.24975465401587
140, 2131S, 108.19799108577872
141, 5069Z, 108.25667854553156
142, 99009A, 107.68820789299009
143, 99921B, 107.25936963354694
144, 54199A, 108.34551325579315
145, 6277C, 106.48307405987995
146, 9909W, 106.67060240484585
147, 51581S, 107.15199508881372
148, 2410A, 108.45751664911775
149, 4154V, 106.65629656062933
150, 8110D, 106.30020240458137
151, 3324Z, 106.92815520639165
152, 8000E, 105.56113006147055
153, 72711P, 106.48456742472698
154, 70407R, 106.6886606407414
155, 12C, 106.48664271219612
156, 1687C, 104.78926960478307
157, 62880C, 104.75851716401226
158, 151T, 106.79249338189784
159, 8926W, 104.62444817633191
160, 2029C, 104.90649123837578
161, 94517X, 103.79352564639913
162, 7700X, 104.65777018962319
163, 61002G, 104.03368567340144
164, 7405N, 104.71797188013599
165, 1357X, 103.69942806743512
166, 99040E, 102.5412658883416
167, 9039H, 103.99735381754239
168, 1281A, 102.30417284488846
169, 106X, 104.59127586168451
170, 85403A, 102.64134699027503
171, 32792B, 101.68548476899599
172, 6121A, 102.67417901714958
173, 5327K, 101.05549039602964
174, 252H, 101.45022159612654
175, 7865E, 101.71865690382467
176, 210Z, 100.62617392662088
177, 62B, 102.00435121564865
178, 8349U, 100.44245445853238
179, 5327R, 99.82532150512384
180, 81208X, 99.84156813306993
181, 11124A, 101.23772139275474
182, 2899A, 99.65217978079905
183, 2055A, 99.58734630985927
184, 2088S, 99.41725210042604
185, 33344C, 98.91753405609802
186, 3743A, 98.7386694726714
187, 6403T, 99.321374028648
188, 400C, 100.743060894286
189, 92315T, 98.74357318724577
190, 39K, 99.86027162057428
191, 98225F, 98.88485283531669
192, 3145H, 98.62702447626512
193, 210F, 98.44970503365437
194, 1790B, 98.27938304969877
195, 2158Z, 97.57229381148113
196, 248B, 98.22922645753664
197, 2011T, 98.02915964081316
198, 10N, 98.05290194435057
199, 5776A, 97.17643011558432
200, 1064B, 97.01674903369722
201, 871X, 98.21169527932247
202, 4478E, 98.29592150502347
203, 56688A, 96.3924795837722
204, 8000B, 96.3160688884369
205, 83757A, 96.58966862531588
206, 1091A, 95.53175933326193
207, 30204A, 95.38032510250761
208, 1115E, 95.57049769760336
209, 9623D, 95.05555240388878
210, 14947F, 96.13311160207272
211, 334V, 95.7522221525689
212, 2011F, 94.29369357162895
213, 18865A, 93.82427513392244
214, 95071X, 93.81585340647834
215, 65162C, 98.27591259542562
216, 9623S, 93.7024315078506
217, 7899C, 93.42096334340091
218, 8682N, 93.27062682668398
219, 12580A, 93.69310078292875
220, 9257R, 94.82204585631649
221, 6526H, 94.00774358100983
222, 7110A, 95.53682492641036
223, 50280R, 92.88529640892337
224, 7899B, 92.6976410113386
225, 8931R, 93.31768202292473
226, 9364D, 93.18409876660651
227, 169A, 93.8763775748208
228, 90999X, 92.73247128493092
229, 7405K, 92.51723966795944
230, 1104X, 92.13588487441154
231, 315B, 91.96435503113906
232, 502A, 92.71829431231976
233, 7110H, 92.58353099323136
234, 26003A, 92.20777270565856
235, 675A, 91.5360002854124
236, 338A, 91.9799786758702
237, 82997A, 91.51871136317723
238, 3607A, 91.414920324944
239, 50805Z, 91.81613187547063
240, 99999P, 92.46362488586965
241, 22111A, 91.15040520591351
242, 4478Y, 92.88579539264421
243, 6008C, 91.03469725988673
244, 6210M, 90.8847193427626
245, 3796E, 90.87683433741248
246, 7700K, 91.85802965139658
247, 7405R, 90.94808205432375
248, 60883W, 90.60926599351816
249, 98548K, 90.44290085706031
250, 77717B, 90.34176676201801
251, 1138B, 91.4731832627895
252, 11688A, 90.16892224478536
253, 99067A, 90.13171364919488
254, 1575A, 90.42174232036827
255, 3350C, 90.03132764654794
256, 355Z, 90.5066258875961
257, 1233A, 92.18593887630306
258, 20605B, 89.67851447918153
259, 7405M, 90.16901263113756
260, 1575K, 90.13463137022305
261, 98992N, 90.45192852589896
262, 2131G, 90.04225123889188
263, 842T, 89.75042053149474
264, 8675R, 90.17329852848306
265, 7316E, 89.33327467414574
266, 2681A, 89.18387450068218
267, 71115S, 90.67561844576898
268, 10102X, 89.03202777893347
269, 60053Y, 88.45337432786198
270, 45434R, 89.11373130593842
271, 27301A, 88.3737247324624
272, 10102Z, 88.72942905607084
273, 6121F, 89.62108443698875
274, 2072X, 87.80245294531306
275, 2550R, 87.72870486290023
276, 99904E, 87.64253712119583
277, 95070F, 87.57152949144651
278, 315S, 87.57850826410396
279, 19291R, 88.30052010652943
280, 3324B, 87.49818646467514
281, 1028A, 87.51923030182071
282, 7865F, 88.03073175832262
283, 892Y, 86.76407946084522
284, 938C, 87.45690970888654
285, 39H, 86.5970730588326
286, 21210A, 86.2981411378217
287, 2616K, 87.00741482222674
288, 3225E, 87.70548832742764
289, 1590A, 86.07301697565417
290, 80550F, 85.9803498072255
291, 3796F, 86.18190111502759
292, 839Z, 86.41858500687385
293, 884A, 85.30841505430122
294, 98548H, 85.26319018427579
295, 3796J, 85.32841633499174
296, 98548D, 85.65490748903734
297, 84075A, 85.5552490131036
298, 2140H, 85.57655906041558
299, 62629Y, 84.82244431523928
300, 1115D, 85.12858467960123
301, 99040X, 83.86326595216988
302, 73641C, 86.09637725491214
303, 22023B, 83.70803547415161
304, 25146D, 84.35251915069605
305, 2707X, 83.63144313816422
306, 99751Z, 84.42618346169424
307, 84141B, 84.1768362042035
308, 8301D, 83.19631639272993
309, 3145G, 83.772136626405
310, 57249A, 82.73840813128005
311, 9185A, 82.41876320193572
312, 550C, 82.11655605546406
313, 2011W, 82.66860445617684
314, 11124W, 81.8939251522628
315, 1229W, 82.07063567845336
316, 6627B, 81.62376516844695
317, 10M, 82.27296947360912
318, 82856A, 81.15639316066215
319, 57249C, 81.17472647629374
320, 47800A, 81.2149676489367
321, 97934S, 82.80880563239697
322, 7316R, 80.51447151316358
323, 3457S, 79.98411177185835
324, 7865C, 80.64916712700368
325, 67104A, 79.75069011180685
326, 97140C, 81.67318353130887
327, 8110C, 80.12328388221312
328, 2616X, 80.18278502633216
329, 79298Z, 79.42893779643697
330, 400M, 81.70937186309902
331, 94022A, 79.2671319400382
332, 2654H, 79.13594905778066
333, 938X, 78.9768877427557
334, 288A, 80.52560194552908
335, 5062X, 79.41901434274897
336, 95070A, 78.42625614220685
337, 2011U, 79.19172528354486
338, 22044A, 78.23125291740166
339, 98225J, 79.03646967516211
340, 81218B, 78.06703376647015
341, 3324W, 78.05392399303014
342, 24842T, 79.24497787588592
343, 355U, 78.37317728921099
344, 742A, 78.89775449034751
345, 11495E, 79.69491787002998
346, 228A, 78.94831994291624
347, 8787A, 77.35566926730004
348, 7862D, 81.42988078182876
349, 50805H, 76.86254554620987
350, 1165A, 78.01190291684551
351, 10K, 77.26650483200581
352, 7862U, 80.97909228619449
353, 50810E, 76.33166954418863
354, 3324Y, 76.00125124281193
355, 7700R, 75.99987142764569
356, 81218C, 75.50837835718269
357, 10J, 76.24832558866868
358, 4330R, 75.96018787774204
359, 97934W, 77.59561885705426
360, 7316N, 75.38526830630492
361, 5509E, 75.3107413460614
362, 315N, 75.26607086944622
363, 9364E, 75.55770440371751
364, 80920A, 74.81429581831779
365, 98548C, 74.57802879681753
366, 3484X, 75.39493214607985
367, 675E, 74.43261805741707
368, 8330X, 74.9064428382199
369, 27301D, 74.39522695089987
370, 8771Z, 73.15130700460239
371, 334R, 73.04267588255932
372, 2602E, 74.7467573109746
373, 315D, 72.64792269268354
374, 604X, 73.41834676281354
375, 97140A, 74.42901887608639
376, 12X, 73.20424887286856
377, 59200X, 72.4412387801498
378, 9039N, 73.74261091982227
379, 315A, 71.76102030240358
380, 10T, 72.55639808709829
381, 13460C, 72.39317973423461
382, 24816R, 71.63841408544161
383, 16689A, 71.36925752970481
384, 80000D, 71.77556714522275
385, 99397C, 71.61407121698603
386, 8838E, 71.9020353734409
387, 119B, 72.90782568003732
388, 3303F, 72.24174492917426
389, 334A, 70.94049968227253
390, 44244S, 71.75123656733408
391, 44691C, 70.95222013595748
392, 3350A, 70.86710969254123
393, 3150M, 75.59072801864636
394, 23620V, 70.71534891672877
395, 4024V, 72.40570908567673
396, 79298C, 70.36429739928728
397, 40684B, 70.99226468566334
398, 3223B, 71.71890139143873
399, 7225X, 74.73450077508883
400, 7983A, 71.21190050801746
401, 1254A, 70.70043716269197
402, 55286A, 69.96166767291615
403, 1200X, 70.32274101386048
404, 53171D, 70.21273946295582
405, 9422X, 69.53383493509503
406, 1115F, 70.03974209430535
407, 3457C, 69.28555622313169
408, 77788P, 69.27300727069377
409, 84141X, 69.87914808097952
410, 847X, 70.2781019225936
411, 11254X, 69.65785426706776
412, 609A, 69.71441436051725
413, 40684C, 69.43563590629248
414, 16868C, 69.284023595202
415, 81X, 68.93759660536799
416, 24816A, 68.05844524003493
417, 355R, 69.3008915715085
418, 6210G, 67.67210727166513
419, 9144E, 68.05045594215869
420, 2011Y, 68.12664263284022
421, 2496Y, 68.54978608222737
422, 955R, 68.80731622772558
423, 44252R, 67.3783163499264
424, 88909B, 67.12623634729769
425, 392X, 67.0697715038087
426, 10W, 67.69892888107455
427, 3324H, 66.62116530994996
428, 15442C, 66.55361461700821
429, 62880A, 66.40092268181678
430, 5327V, 66.10722455292367
431, 99621H, 66.920680469177
432, 9364G, 66.60798401304348
433, 20121A, 68.03943102764406
434, 3118A, 68.03692720560178
435, 91915C, 65.55293869537246
436, 536C, 65.6913892033026
437, 36905X, 64.99568317613873
438, 44244N, 65.66294094377896
439, 93199G, 65.65957313571529
440, 3134K, 66.04397422841495
441, 1381P, 65.88118261625254
442, 78889W, 66.45730538273564
443, 1868N, 64.54917340238326
444, 16689E, 64.4980904744275
445, 8301C, 64.487213470854
446, 45434A, 66.04060180142066
