rank, team, skill
1, 229V, 199.17753864388092
2, 19991A, 196.55799377000065
3, 1739C, 181.15339943514613
4, 5203G, 176.55817116921668
5, 39702C, 174.88210331239694
6, 74947K, 176.61875912783148
7, 8110R, 171.3712989684772
8, 1079X, 169.83740960769396
9, 1082R, 169.8296548099313
10, 23203A, 168.21897529650408
11, 2011A, 166.65600177294425
12, 2654P, 164.7387800816696
13, 20605A, 163.16289748863744
14, 47969A, 161.94271183324398
15, 9364C, 160.53162217656748
16, 2029C, 159.73753642053592
17, 8889A, 159.65977991254664
18, 5150Z, 157.8350436073761
19, 9364H, 157.5985207730194
20, 8349G, 156.5653739555718
21, 1353N, 156.41764131146044
22, 96504C, 156.370171840872
23, 4148Z, 155.94411840426653
24, 8829C, 157.4891223081773
25, 1356B, 155.35204895088395
26, 20315B, 157.75683733153156
27, 7187K, 153.89391746106517
28, 937X, 153.50257851987215
29, 106X, 152.60704395597386
30, 5956B, 152.26162191725655
31, 83387C, 152.4086535530741
32, 5956F, 152.17949821528856
33, 11101B, 151.5427576190828
34, 334B, 150.96751449509853
35, 96789Z, 151.91085125951878
36, 2011J, 150.62283292856097
37, 7157A, 150.55919305097717
38, 4082B, 149.6580399607172
39, 1898A, 149.5170489104886
40, 1079Y, 148.8734468259994
41, 70291D, 149.14110149255694
42, 70291E, 148.93483026981468
43, 11775A, 148.7929248786495
44, 42700X, 149.34352700575408
45, 56727D, 148.03093761364525
46, 80001B, 147.30910860874968
47, 1065A, 147.15280111469704
48, 3135B, 146.66113927803013
49, 643A, 147.1743695774661
50, 319K, 146.69968262228653
51, 99921B, 146.4024973003365
52, 1095R, 145.64745234333736
53, 2011K, 145.43866376492875
54, 5069Z, 144.48455116384721
55, 7862U, 144.48141416642977
56, 13460C, 144.20747241962238
57, 62880C, 144.18544936466157
58, 17924A, 143.799536020023
59, 19589A, 144.02255040057747
60, 7139B, 143.65909799818488
61, 53999P, 143.48571991766505
62, 1394A, 143.44044859809995
63, 1698Y, 143.05335949795204
64, 729S, 142.9474665046234
65, 2011B, 142.70624393221004
66, 55286A, 142.00444254966584
67, 3141V, 141.97672016354701
68, 28006B, 141.95194108806305
69, 56727A, 141.80559642790178
70, 1469A, 141.0719010719403
71, 8110V, 141.09881426914194
72, 75503Z, 141.06248134356147
73, 323V, 140.3223675111284
74, 7405R, 139.87694897048684
75, 10102A, 139.58392395565298
76, 6277C, 139.7808998802811
77, 65162C, 139.97324028302785
78, 6121C, 139.5032710796499
79, 343X, 138.8183967025575
80, 44691R, 139.31928668368013
81, 5408D, 139.1489640346366
82, 2131Y, 138.7075373383769
83, 89040A, 138.68464739699027
84, 71909X, 138.84458165888879
85, 7121F, 138.81234039698427
86, 4148V, 138.86064973105948
87, 1357X, 138.5776895032568
88, 70291A, 138.57707763972016
89, 9039N, 138.19862288951978
90, 871X, 138.12190140784284
91, 45434M, 137.77872943193208
92, 99904B, 137.3607373393781
93, 8110C, 137.8390443565131
94, 5155E, 137.1505823625596
95, 652A, 137.18488796076858
96, 2775V, 137.3075949367556
97, 74947E, 140.1627811456279
98, 2360N, 136.79569227800306
99, 1000A, 136.83775337986782
100, 13800V, 136.8430793557922
101, 66475C, 136.79957413371972
102, 2011D, 136.72909743023123
103, 151T, 136.88501201077844
104, 62629Y, 136.6523623461633
105, 95070D, 136.52652863682113
106, 4478E, 136.7935186133669
107, 62629X, 136.4832441577999
108, 69403A, 136.69258083159093
109, 78792E, 136.49744020699902
110, 11101W, 135.8262502897344
111, 9080C, 135.9851000741594
112, 99067A, 135.7029387119647
113, 39K, 135.51482207101594
114, 19896A, 135.57344668636566
115, 1082E, 135.89851731892054
116, 77776U, 135.39189696815816
117, 2072X, 134.99994364293516
118, 48425A, 135.76508337704465
119, 2139X, 135.02740504709226
120, 89040B, 135.04178176960139
121, 9364A, 134.61503541490362
122, 81208S, 135.53059994870532
123, 1010W, 135.52137388865947
124, 60053Y, 133.9953131515471
125, 3141R, 133.9491134903824
126, 20164X, 133.41281550783143
127, 95569C, 134.05912940233148
128, 21417A, 133.37830677986605
129, 4610H, 133.692547163168
130, 20480Y, 133.94380111969969
131, 87867D, 133.21037285639386
132, 1168A, 133.07794630963588
133, 98765D, 133.97790811629778
134, 39Y, 133.24444428478816
135, 84886A, 132.4185162458534
136, 6627X, 132.46831886445733
137, 64846B, 132.37403339484774
138, 14947F, 134.2999896970754
139, 2616K, 132.02237709307437
140, 7225F, 132.14202307757705
141, 987X, 131.88162130379942
142, 301S, 132.27197529862084
143, 51581S, 131.7947607215681
144, 44252A, 131.84763154793552
145, 169A, 131.63794165369904
146, 71115S, 131.2723325224414
147, 502X, 132.49224225088466
148, 18865A, 131.2499544746035
149, 74074Y, 130.9349538970529
150, 1727R, 130.97783549202262
151, 3400K, 130.68966229704185
152, 99067B, 130.67224095124587
153, 10012G, 131.9373577892272
154, 9080H, 130.69589496090305
155, 1028A, 130.12661673678883
156, 16689A, 130.0099350386063
157, 8926W, 130.31308429523858
158, 80508X, 129.38977139801165
159, 64040C, 129.81251896621995
160, 8000C, 129.6796945316961
161, 8568A, 129.76577997398496
162, 886N, 130.76110916133538
163, 57249A, 129.56955477603842
164, 39313Z, 129.36884189272163
165, 1159X, 130.13635727724386
166, 1727K, 129.38983681409738
167, 89437A, 130.33920833706057
168, 5155A, 128.9488711880939
169, 52455A, 129.39491860324569
170, 13358C, 128.91932725666993
171, 321C, 128.370268012503
172, 32792B, 128.9277378746181
173, 87490A, 128.67904918138026
174, 920B, 128.4602694086925
175, 9623D, 128.59382987379962
176, 8838D, 128.023957164497
177, 81Z, 128.27260072108595
178, 288A, 128.32096030605763
179, 2420A, 127.67685888240817
180, 1696Z, 127.76640908147411
181, 45434R, 127.68275700688743
182, 83149B, 128.30423942054247
183, 63310K, 127.91842221274942
184, 4886S, 128.03300197428388
185, 16868K, 128.5326042243107
186, 71909Z, 127.5092719213523
187, 2011Z, 127.10452569560337
188, 393V, 127.0626814501957
189, 72711P, 126.88466201164462
190, 3118B, 127.3872272573318
191, 1239E, 127.01368640482423
192, 6627A, 126.83638766766224
193, 9784C, 126.83750667052692
194, 66281A, 126.59281447876198
195, 80708Y, 126.30144042570186
196, 14872A, 126.53140834218945
197, 2654R, 126.69301157821702
198, 2131H, 126.47657700762207
199, 59148A, 126.60806069413495
200, 62629W, 126.39309004488572
201, 6008N, 126.21840715295711
202, 77787B, 126.16654908098914
203, 5509E, 126.15203717334816
204, 6793C, 126.05974381441264
205, 4828P, 126.1610421963023
206, 550X, 126.15801529071571
207, 71811N, 126.34066406954744
208, 20002G, 125.76396326439803
209, 248B, 125.75557108641542
210, 50805V, 125.89797254584471
211, 14711A, 125.31324192368518
212, 8800T, 125.1420673810999
213, 77774V, 124.96454864977352
214, 7110H, 125.21186544374915
215, 1575A, 124.87181683485474
216, 70407R, 124.79955237017903
217, 54199A, 126.41970778311742
218, 2442A, 124.55695159809463
219, 248D, 124.52335654902409
220, 33007X, 124.51065886837787
221, 4610C, 124.06003293884356
222, 4214X, 124.39419050596852
223, 1138B, 123.7825041367152
224, 60883V, 123.89356114616568
225, 248A, 124.12140017517284
226, 11124R, 123.75511945655539
227, 6210M, 123.34909907266709
228, 16099A, 123.80356914906072
229, 59148B, 123.77395363002627
230, 2990Z, 123.42854963534964
231, 97140A, 123.39873231327216
232, 39H, 123.00326642137415
233, 81208X, 123.38377875815871
234, 569C, 122.85203796669876
235, 100A, 122.53287287933396
236, 74485B, 123.16326441949295
237, 10C, 122.7578788943569
238, 95111V, 122.65396959118797
239, 11981A, 123.15612571750557
240, 3134R, 122.418443907195
241, 488B, 122.47075671493718
242, 17921Z, 122.14009691185709
243, 10102X, 122.38686200386499
244, 3150M, 127.49297063281713
245, 87490Z, 122.59948733402265
246, 6842K, 121.91805537597399
247, 1698X, 122.17985204128988
248, 56H, 121.92346195180858
249, 6030J, 121.9170120307825
250, 9228C, 122.07660573538885
251, 61391W, 121.79858930770679
252, 3457C, 121.27625808571993
253, 99009A, 121.58294628370813
254, 338A, 121.55337997639319
255, 4024V, 121.48654140185728
256, 9909Y, 121.39198777869683
257, 3142Y, 121.39945972546802
258, 60883W, 120.42080448008106
259, 11124P, 120.75585484081418
260, 15486H, 120.69222190360942
261, 44252N, 120.8404035358351
262, 1082F, 120.707806450446
263, 3223A, 120.61242441463415
264, 675E, 120.60398208603598
265, 18891A, 120.52843572910191
266, 39702A, 120.3188420863617
267, 20203Z, 120.03387240470093
268, 6008C, 120.19199314002621
269, 3134G, 119.94857067423312
270, 95071X, 119.93030846888755
271, 9880D, 120.14987890366073
272, 2602K, 120.0622828439171
