rank, team, skill
1, 8076Z, 134.49738184621154
2, 99993A, 131.41467257636924
3, 8059Z, 131.36151123481665
4, 8076X, 125.22908954581737
5, 77789A, 120.94265771279379
6, 8059A, 120.8164069458656
7, 13258A, 117.24543391478073
8, 8076A, 109.08328487080269
9, 35768A, 108.0979435254815
10, 8068B, 106.30124180597642
11, 8076Y, 106.12497068867881
12, 8068F, 92.97335161193237
13, 81011X, 92.11147818306196
14, 17002A, 87.83722965978181
15, 35768C, 86.42724369046039
16, 8059D, 85.66814952565596
17, 70030A, 84.14810320955252
18, 6546E, 82.17380211598714
19, 60800A, 78.549547010403
20, 8076D, 74.63156630201107
21, 77789C, 71.12820813551248
22, 8059X, 65.16660076505394
23, 6546A, 56.99576676147831
24, 3331A, 52.483666564892665
25, 51801A, 49.57143781850094
26, 8068X, 45.59865729894512
27, 6546F, 44.19405103755814
28, 8059F, 42.518544075096095
29, 18186A, 40.703516401151234
30, 8059K, 28.46004189438562
31, 17002B, 24.671561526149617
32, 8068E, 24.512385691550385
33, 17528A, 23.13722439217902
34, 8063A, 20.416463191791152
35, 8059E, 19.860011077991437
36, 61269A, 16.171510878595022
37, 77789B, 12.53577336700198
38, 6546J, 9.917952776137803
39, 70030B, 8.984641996834505
40, 35768X, 8.52017887781291
41, 492X, 8.502791670779331
42, 6546K, 10.387751614318574
43, 4413A, 5.862392306673669
44, 8062B, 3.819401744592568
45, 35768P, -3.19410107975035
46, 6546H, -11.583962483357684
47, 6546C, -15.972031917995743
48, 61269B, -24.916517429997388
49, 17004A, -25.818317797049914
50, 35768W, -35.158142818633976
51, 6546D, -41.979812305590904
52, 6546B, -44.67156826172596
53, 6546G, -76.08036581558774
54, 25836A, -79.6345265862515
55, 8062A, -80.91062251452298
