rank, team, skill
1, 229V, 295.0168089695915
2, 15650C, 237.90812470209218
3, 99904B, 230.57930629521243
4, 1082R, 227.41701966515308
5, 8349G, 225.84233377211382
6, 9364C, 222.97125118151706
7, 1739C, 222.25658010524967
8, 2654P, 222.0592014831089
9, 2011A, 220.4774889387889
10, 9364H, 220.2880683631336
11, 8110R, 219.3835403645944
12, 47969A, 218.71877704171243
13, 20605A, 214.7410512058981
14, 5203G, 214.86840275875863
15, 2029C, 210.55759289414354
16, 8889A, 209.8117227023781
17, 334B, 209.37320843711967
18, 96504C, 209.62311332316565
19, 1095R, 209.03389847284058
20, 4148Z, 207.11876936611367
21, 11101B, 202.86713664179373
22, 39702C, 202.48440638326213
23, 2011B, 201.4661916543617
24, 11101W, 198.64021789959116
25, 45434M, 198.18213431785887
26, 67732A, 198.19551241282034
27, 502W, 197.90750778128594
28, 42700X, 198.29879025057528
29, 1353N, 197.2855853229844
30, 3141V, 194.29114499536297
31, 62880C, 193.8624570887474
32, 5150Z, 193.72033025828728
33, 19589A, 192.85856171484602
34, 1356B, 192.41948631098356
35, 7862U, 191.74181422770647
36, 8110C, 189.75018615423227
37, 937X, 189.06161282133178
38, 44691R, 188.96905329386777
39, 93644F, 189.09219698565542
40, 2011K, 188.4892338246258
41, 21417A, 188.1068975696141
42, 5956B, 188.56182592585014
43, 5069Z, 187.66614356745816
44, 80001B, 187.44120356321991
45, 1065A, 187.10101999066848
46, 7090A, 186.32139922947218
47, 70291D, 186.8738208393861
48, 95071X, 186.00181268419374
49, 1028A, 185.85501488877082
50, 1168A, 185.4624162085268
51, 2011D, 185.4830751678172
52, 71909X, 185.63020611715294
53, 1000A, 184.34997850879358
54, 7121F, 184.2401203941618
55, 319K, 184.1795719308849
56, 1010W, 184.00070572629738
57, 10102A, 183.7361417120894
58, 3135B, 183.4558317352429
59, 106X, 183.77812657688983
60, 60883W, 181.95889772634922
61, 8110V, 182.55440119593922
62, 96789Z, 183.013281954086
63, 1469A, 181.65257288821186
64, 1898A, 181.70305349858307
65, 95070D, 180.79874359492223
66, 248B, 181.12252315165597
67, 652A, 180.33709917274277
68, 89040A, 179.8519257684024
69, 70291E, 179.778571837585
70, 1357X, 179.4311939884805
71, 5155E, 178.65463870069095
72, 39K, 178.59530321977547
73, 323V, 177.81943021834186
74, 7187K, 177.9752937619333
75, 9909Y, 178.22891714260902
76, 4082B, 178.12797144907154
77, 1082E, 178.18637326411712
78, 2011J, 177.81223049243548
79, 6210M, 176.7284990723878
80, 9364A, 176.30165200982384
81, 60883V, 176.0725767878118
82, 97673Z, 177.9959932662004
83, 16689A, 175.18114566519887
84, 99921B, 174.77668722703845
85, 74947K, 175.09559885496435
86, 1698Y, 174.37347187381113
87, 10012G, 174.5091320654018
88, 11775A, 174.23043211535426
89, 643A, 174.13524391669347
90, 2775V, 173.7259116525942
91, 28006B, 173.78660000273163
92, 5956F, 173.9491657709163
93, 4478E, 173.6429797699817
94, 3141R, 173.25268148542392
95, 8838D, 172.6976715899538
96, 66475C, 172.8822508024234
97, 729S, 172.863541406138
98, 6627A, 172.45385078244556
99, 920B, 172.2319476170177
100, 45434R, 171.8186746268825
101, 62629X, 171.33283487069235
102, 2131H, 170.99815689128806
103, 62629Y, 170.79287234171187
104, 1394A, 171.1420459821316
105, 8829C, 171.0362864379191
106, 51581S, 170.20748668254834
107, 19991A, 170.3861976461022
108, 2131Y, 169.51391367887692
109, 60053Y, 168.9815165360249
110, 3134R, 167.00774281601105
111, 78887B, 169.50311387453593
112, 13800C, 168.49193119204625
113, 151T, 166.72022253555406
114, 2072X, 165.99057677047148
115, 14947F, 166.72021054202293
116, 343X, 165.07491105758675
117, 56727D, 164.83997921763574
118, 56727A, 164.80779404490355
119, 89040B, 164.1113238596485
120, 210T, 164.19778520918845
121, 4148V, 164.34071660302956
122, 7842X, 164.05268674267285
123, 5509E, 164.03137450492628
124, 7405R, 163.75511801641056
125, 169A, 162.93109862350354
126, 5155A, 162.5832740705679
127, 55286A, 162.52840431366036
128, 6842K, 162.1104757385106
129, 74074Y, 162.19986228632845
130, 7316E, 162.14701139222416
131, 39H, 161.91897899798295
132, 5408D, 162.1441342736548
133, 57249A, 161.9202107155984
134, 6627X, 161.56498332987053
135, 2654R, 161.66133597858612
136, 315E, 161.32840578485127
137, 2084K, 161.3608505757841
138, 13765X, 161.09155309883988
139, 9123C, 161.2135698556311
140, 9364D, 160.8710381334366
141, 62629W, 160.63961593294601
142, 7225F, 160.7750477791825
143, 84886A, 160.38235334130331
144, 71115S, 160.27852397825518
145, 10C, 160.42150279682025
146, 65162C, 160.64814728676717
147, 2011Z, 160.3065587362164
148, 39Y, 160.12273051265754
149, 987X, 159.40426256535972
150, 34565B, 161.69839331511622
151, 45434H, 159.16678642761863
152, 6793C, 159.27532341312798
153, 95111V, 159.03374928470595
154, 72711P, 158.80770912530522
155, 1138B, 158.77723333066126
156, 6277C, 159.0832177269025
157, 8000C, 158.49638714789342
158, 16868C, 158.71375751380992
159, 2990Z, 158.0277614365799
160, 75503Z, 158.04699728926994
161, 6121C, 157.83405704546482
162, 63310K, 157.84643547398517
163, 1159X, 158.29682155953088
164, 77787B, 157.40858008353044
165, 3457C, 157.17357423767174
166, 7157A, 157.0813210992095
167, 91416A, 157.05492329910476
168, 9039N, 157.03479338133707
169, 74947E, 157.5217292900989
170, 16868K, 157.2762693416335
171, 48425A, 157.1504444138073
172, 99067A, 156.76368480746237
173, 2139X, 156.43374175993864
174, 69403A, 156.66445741252375
175, 1239E, 156.3412699182932
176, 6008C, 156.23497533883582
177, 88X, 156.5558057561218
178, 9123X, 156.48088331721658
179, 6008N, 155.2462663981782
180, 17924A, 154.84392681324616
181, 2616K, 154.99929020753643
182, 70700X, 155.03059191857412
183, 20164X, 154.328691096278
